value1,value2,value3,value4,value5

444,949,967,867,449
166,906,438,399,611
984,542,226,861,719
513,702,481,485,897
443,436,215,729,176
442,827,360,511,336
816,971,694,789,554
949,535,296,389,757
968,487,813,759,864
397,543,109,972,341
167,34,530,85,324
665,977,179,616,501
138,268,775,869,872
21,68,218,997,339
266,458,472,323,179
808,642,197,51,755
963,265,105,658,748
787,714,429,892,81
827,188,482,646,640
675,742,886,421,13
299,990,970,661,255
555,868,303,597,952
598,820,689,981,817
862,583,902,822,777
621,767,26,144,55
808,425,365,267,706
726,593,352,745,343
97,111,249,815,947
488,991,674,959,555
217,103,348,91,325
846,730,143,623,935
656,737,870,145,838
769,122,42,123,142
970,88,702,76,160
419,923,799,224,699
212,472,481,438,641
460,283,747,687,782
707,227,377,726,230
372,548,51,823,486
297,989,885,773,200
561,365,206,180,558
437,461,983,248,453
527,342,580,474,831
947,949,859,227,724
358,67,174,357,237
536,4,225,669,970
749,91,789,821,630
632,238,999,292,495
582,464,683,117,191
746,880,211,790,460
649,406,670,417,704
414,195,301,940,842
475,369,761,885,709
695,340,184,981,677
396,459,171,411,139
968,205,168,42,433
725,517,446,338,459
758,313,793,915,294
508,855,923,3,617
453,424,151,322,934
363,727,560,908,191
199,452,801,658,887
433,968,287,453,356
299,949,369,510,817
731,176,516,170,356
856,873,895,750,911
989,40,414,5,532
792,167,112,329,150
272,329,126,530,687
95,871,982,568,455
807,203,869,6,87
374,572,67,571,843
57,996,406,887,140
214,47,314,529,715
506,472,42,906,475
298,216,114,891,760
962,678,770,924,677
806,348,48,975,336
842,395,359,715,505
270,525,761,650,916
101,903,27,700,268
136,6,666,167,629
272,288,228,869,270
989,252,225,622,380
980,28,56,385,719
333,219,640,938,20
328,169,362,649,318
575,62,342,475,677
767,682,881,210,220
312,731,419,669,782
872,203,524,452,624
3,656,886,829,163
226,661,109,155,723
223,641,945,134,923
857,470,278,227,435
894,191,865,507,41
609,241,684,478,975
617,826,301,445,390
965,327,468,287,117
464,320,724,920,4
64,233,703,912,686
193,101,281,508,445
952,526,376,591,728
991,131,914,928,940
32,228,93,508,161
900,295,82,527,114
830,358,476,366,239
854,438,280,207,237
778,954,793,926,605
606,63,369,471,96
162,967,178,245,970
299,448,63,20,924
556,227,85,544,325
557,774,3,270,106
219,578,164,116,75
494,113,112,226,820
873,363,528,965,204
262,662,636,593,644
737,470,510,342,493
718,868,57,768,950
902,775,482,468,733
201,791,236,792,1
251,550,302,450,701
656,294,637,233,845
979,626,864,396,904
676,47,883,808,951
979,26,635,77,344
6,285,589,724,204
832,310,548,639,561
140,911,924,517,25
608,52,485,15,411
206,229,772,837,49
649,105,15,285,111
13,226,2,566,27
50,700,635,63,347
183,709,817,708,644
696,453,795,407,452
786,600,241,175,968
81,131,657,779,923
951,521,408,714,203
82,224,568,581,857
152,69,838,878,980
353,631,648,220,557
674,738,810,520,604
754,328,219,949,796
263,641,349,520,691
333,887,517,539,499
870,842,773,145,118
631,192,55,284,232
329,998,552,981,215
14,737,454,157,311
380,246,417,623,636
826,701,60,112,445
664,636,958,626,665
967,785,614,788,243
836,972,232,12,77
83,365,900,467,233
51,915,609,193,339
681,957,224,272,71
934,332,482,793,428
675,519,244,500,786
953,271,875,456,484
504,549,85,991,602
969,145,241,989,237
129,429,96,567,433
172,682,806,130,452
383,351,67,802,944
892,647,429,442,594
772,473,83,890,452
251,12,506,759,908
95,198,522,384,370
651,214,394,268,459
985,867,382,756,683
940,606,167,338,518
247,69,628,866,65
622,382,651,851,305
665,609,253,788,786
186,757,677,452,618
661,170,6,576,784
641,846,257,902,683
86,549,152,867,556
734,724,149,584,768
620,169,460,774,228
960,256,506,514,586
753,939,370,72,747
501,1,663,32,109
833,41,783,696,619
827,816,74,967,563
63,995,644,306,653
414,434,380,784,444
691,159,970,597,565
357,994,799,754,128
929,962,295,175,935
237,911,90,907,149
584,514,751,519,994
45,794,731,509,54
801,164,81,956,740
444,870,626,1,536
394,825,144,363,326
461,728,622,603,532
478,712,950,221,616
598,950,387,117,561
700,57,107,671,90
432,780,226,303,504
469,132,439,674,917
57,309,300,952,229
939,116,528,427,121
553,655,546,257,247
642,226,937,476,686
701,866,334,578,158
232,251,545,876,675
332,104,389,935,155
466,144,997,782,154
296,685,198,456,83
973,739,235,84,189
65,137,668,589,420
830,725,529,300,337
449,749,382,920,918
452,127,872,617,775
255,435,905,153,382
691,122,5,429,348
413,682,609,423,913
617,599,150,458,627
275,110,713,701,380
419,52,51,378,569
944,304,635,852,874
649,597,545,152,258
516,179,415,959,773
888,426,314,501,292
492,174,64,227,897
119,670,87,598,807
971,668,548,883,893
423,747,42,512,82
